,CLASS,PACKAGE,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
21,CombinedBeanDeclaration,org.apache.commons.configuration2.beanutils,27,0,0,0,27,100.0,0,153,0,26,0,41,0,20,0,7,100.0,100.0,20
22,CombinedBuilderParametersImpl,org.apache.commons.configuration2.builder.combined,33,1,0,0,34,97.05882352941177,6,231,0,20,1,68,1,34,1,24,98.55072463768117,100.0,35
23,CombinedConfiguration,org.apache.commons.configuration2,117,0,6,6,129,95.34883720930232,67,891,3,75,10,249,3,82,0,46,96.13899613899613,96.15384615384616,85
24,CombinedConfigurationBuilder,org.apache.commons.configuration2.builder.combined,108,2,10,0,120,90.0,44,1307,12,90,6,325,12,99,0,60,98.18731117824774,88.23529411764706,111
25,CombinedConfigurationBuilderProvider,org.apache.commons.configuration2.builder.combined,4,0,1,0,5,80.0,0,65,0,2,0,19,0,5,0,4,100.0,100.0,5
26,CombinedLocationStrategy,org.apache.commons.configuration2.io,6,0,0,0,6,100.0,0,53,0,8,0,15,0,7,0,3,100.0,100.0,7
27,CombinedReloadingController,org.apache.commons.configuration2.reloading,9,0,0,0,9,100.0,0,108,0,12,0,30,0,15,0,9,100.0,100.0,15
28,CompositeConfiguration,org.apache.commons.configuration2,69,2,9,0,80,86.25,47,593,6,72,10,161,6,60,0,27,94.15204678362574,92.3076923076923,66
29,ConfigurationAttributePointer,org.apache.commons.configuration2.tree.xpath,14,1,0,0,15,93.33333333333331,2,67,1,3,1,22,2,14,1,13,95.65217391304348,75.0,16
30,ConfigurationBuilderEvent,org.apache.commons.configuration2.builder,1,0,0,0,1,100.0,0,28,0,0,0,6,0,3,0,3,100.0,,3
31,ConfigurationBuilderResultCreatedEvent,org.apache.commons.configuration2.builder,2,0,0,0,2,100.0,0,25,0,2,0,7,0,4,0,3,100.0,100.0,4
32,ConfigurationConverter,org.apache.commons.configuration2,8,0,0,0,8,100.0,3,76,0,6,2,24,1,8,1,5,92.3076923076923,100.0,9
33,ConfigurationDeclaration,org.apache.commons.configuration2.builder.combined,15,2,0,0,17,88.23529411764706,4,87,0,14,2,23,2,15,2,8,92.0,100.0,17
34,ConfigurationDynaBean,org.apache.commons.configuration2.beanutils,31,2,2,0,35,88.57142857142857,75,299,10,36,7,62,9,26,0,12,89.85507246376811,78.26086956521739,35
35,ConfigurationDynaClass,org.apache.commons.configuration2.beanutils,13,2,1,0,16,81.25,36,140,4,26,5,42,6,15,2,4,89.36170212765957,86.66666666666667,21
36,ConfigurationErrorEvent,org.apache.commons.configuration2.event,4,0,0,0,4,100.0,0,48,0,0,0,13,0,6,0,6,100.0,,6
37,ConfigurationEvent,org.apache.commons.configuration2.event,3,0,0,0,3,100.0,0,78,0,0,0,17,0,5,0,5,100.0,,5
38,ConfigurationInterpolator,org.apache.commons.configuration2.interpol,52,0,0,0,52,100.0,0,337,0,44,0,85,0,50,0,28,100.0,100.0,50
39,ConfigurationLogger,org.apache.commons.configuration2.io,3,0,0,0,3,100.0,0,91,0,4,0,31,0,18,0,16,100.0,100.0,18
40,ConfigurationLookup,org.apache.commons.configuration2,3,0,0,0,3,100.0,0,21,0,2,0,7,0,4,0,3,100.0,100.0,4
41,ConfigurationMap,org.apache.commons.configuration2,13,2,1,0,16,81.25,13,113,0,2,3,31,1,16,1,15,91.17647058823529,100.0,17
42,ConfigurationNodeIteratorAttribute,org.apache.commons.configuration2.tree.xpath,10,0,0,0,10,100.0,0,100,0,12,0,24,0,11,0,5,100.0,100.0,11
43,ConfigurationNodeIteratorBase,org.apache.commons.configuration2.tree.xpath,26,0,1,2,29,96.55172413793105,0,127,2,14,0,24,2,18,0,12,100.0,87.5,20
44,ConfigurationNodeIteratorChildren,org.apache.commons.configuration2.tree.xpath,26,0,0,0,26,100.0,0,194,0,30,0,50,0,22,0,7,100.0,100.0,22
45,ConfigurationNodePointer,org.apache.commons.configuration2.tree.xpath,20,2,2,0,24,83.33333333333334,4,135,1,11,2,35,2,22,1,17,94.5945945945946,91.66666666666666,24
46,ConfigurationNodePointerFactory,org.apache.commons.configuration2.tree.xpath,6,3,1,0,10,60.0,18,43,2,2,5,14,2,8,1,7,73.68421052631578,50.0,10
47,ConfigurationNodeVisitorAdapter,org.apache.commons.configuration2.tree,1,0,0,0,1,100.0,1,6,0,0,1,3,1,3,1,3,75.0,,4
48,ConfigurationPropertiesFactoryBean,org.apache.commons.configuration2.spring,15,3,2,0,20,75.0,11,150,1,19,5,30,5,19,4,10,85.71428571428571,95.0,24
49,ConfigurationPropertySource,org.apache.commons.configuration2.spring,1,2,0,0,3,33.33333333333333,29,11,2,0,7,3,3,2,2,2,30.0,0.0,5
50,ConfigurationUtils,org.apache.commons.configuration2,50,3,3,0,56,89.2857142857143,39,382,1,33,13,101,5,42,4,26,88.59649122807018,97.05882352941177,47
51,ConfigurationXMLReader,org.apache.commons.configuration2,16,5,2,0,23,69.56521739130434,24,110,1,13,14,41,10,20,9,14,74.54545454545455,92.85714285714286,30
52,Configurations,org.apache.commons.configuration2.builder.fluent,37,0,0,0,37,100.0,0,251,0,2,0,42,0,39,0,38,100.0,100.0,39
53,ConstantLookup,org.apache.commons.configuration2.interpol,11,0,2,0,13,84.61538461538461,15,109,1,7,0,32,1,9,0,6,100.0,87.5,10
54,ConstructorArg,org.apache.commons.configuration2.beanutils,18,0,0,0,18,100.0,3,115,1,13,0,27,1,17,0,11,100.0,92.85714285714286,18
55,CopyObjectDefaultHandler,org.apache.commons.configuration2.builder,4,0,0,0,4,100.0,0,33,0,2,0,13,0,4,0,3,100.0,100.0,4
56,DataConfiguration,org.apache.commons.configuration2,110,3,10,0,123,89.43089430894308,23,770,3,15,3,141,5,104,2,98,97.91666666666666,83.33333333333334,109
57,DatabaseBuilderParametersImpl,org.apache.commons.configuration2.builder,14,0,0,0,14,100.0,0,46,0,0,0,15,0,8,0,8,100.0,,8
58,DatabaseConfiguration,org.apache.commons.configuration2,51,10,8,0,69,73.91304347826086,238,833,38,58,13,156,32,63,6,41,92.3076923076923,60.416666666666664,95
59,DefaultBeanFactory,org.apache.commons.configuration2.beanutils,28,0,0,0,28,100.0,7,257,3,27,0,66,3,28,0,16,100.0,90.0,31
