,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
122,InsertCommand,org.apache.commons.collections4.sequence,1,0,0,0,0,1,100.0,0,9,0,0,0,4,0,2,0,2,100.0,,2
123,InstanceofPredicate,org.apache.commons.collections4.functors,3,0,1,0,0,4,75.0,8,18,1,1,2,6,2,3,1,3,75.0,50.0,5
124,InstantiateFactory,org.apache.commons.collections4.functors,15,0,1,1,0,17,88.23529411764706,23,108,5,17,7,27,5,11,0,5,79.41176470588235,77.27272727272727,16
125,InstantiateTransformer,org.apache.commons.collections4.functors,14,0,1,1,0,16,87.5,32,86,10,14,8,19,10,8,0,6,70.37037037037037,58.333333333333336,18
126,InvokerTransformer,org.apache.commons.collections4.functors,19,0,0,0,0,19,100.0,45,133,4,24,6,28,4,15,0,5,82.35294117647058,85.71428571428571,19
127,IterableUtils,org.apache.commons.collections4,107,0,2,19,1,129,83.72093023255816,62,803,4,66,7,164,8,103,4,72,95.90643274853801,94.28571428571428,111
128,IteratorChain,org.apache.commons.collections4.iterators,15,0,4,6,0,25,60.0,84,154,6,14,13,43,8,16,4,10,76.78571428571429,70.0,24
129,IteratorEnumeration,org.apache.commons.collections4.iterators,3,0,0,0,0,3,100.0,7,17,0,0,4,6,2,4,2,4,60.0,,6
130,IteratorIterable,org.apache.commons.collections4.iterators,8,0,1,0,0,9,88.8888888888889,4,58,1,5,2,15,2,9,1,7,88.23529411764706,83.33333333333334,11
131,IteratorUtils,org.apache.commons.collections4,128,0,35,1,0,164,78.04878048780488,249,626,42,100,58,168,44,97,16,54,74.33628318584071,70.4225352112676,141
132,KeepCommand,org.apache.commons.collections4.sequence,1,0,0,0,0,1,100.0,0,9,0,0,0,4,0,2,0,2,100.0,,2
133,KeyAnalyzer,org.apache.commons.collections4.trie,0,0,15,0,0,15,0.0,21,26,8,6,3,7,8,5,2,4,70.0,42.857142857142854,13
134,LRUMap,org.apache.commons.collections4.map,0,0,49,0,0,49,0.0,203,296,9,31,17,87,13,32,5,20,83.65384615384616,77.5,45
135,LazyIteratorChain,org.apache.commons.collections4.iterators,13,0,0,0,1,14,100.0,0,99,0,12,0,28,0,11,0,5,100.0,100.0,11
136,LazyList,org.apache.commons.collections4.list,7,0,2,2,1,12,66.66666666666666,30,54,2,6,6,15,3,5,1,3,71.42857142857143,75.0,8
137,LazyMap,org.apache.commons.collections4.map,10,0,0,0,0,10,100.0,0,81,0,6,0,24,0,10,0,7,100.0,100.0,10
138,LazySortedMap,org.apache.commons.collections4.map,9,0,0,0,0,9,100.0,0,75,0,0,0,16,0,11,0,11,100.0,,11
139,LinkedMap,org.apache.commons.collections4.map,2,0,22,2,0,26,7.6923076923076925,13,160,0,4,5,40,3,29,3,27,88.88888888888889,100.0,32
140,ListIteratorWrapper,org.apache.commons.collections4.iterators,46,0,4,0,0,50,92.0,41,253,8,32,11,61,8,23,2,9,84.72222222222221,80.0,31
141,ListOrderedMap,org.apache.commons.collections4.map,56,0,55,5,0,116,48.27586206896552,35,812,4,56,5,194,5,99,1,73,97.48743718592965,93.33333333333333,104
142,ListOrderedSet,org.apache.commons.collections4.set,43,0,2,2,0,47,91.48936170212765,24,326,3,33,5,87,5,40,2,25,94.56521739130434,91.66666666666666,45
143,ListUtils,org.apache.commons.collections4,68,0,8,4,0,80,85.0,82,459,10,68,12,114,15,59,6,29,90.47619047619048,87.17948717948718,74
144,LoopingIterator,org.apache.commons.collections4.iterators,11,0,0,0,0,11,100.0,0,56,0,8,0,17,0,10,0,6,100.0,100.0,10
145,LoopingListIterator,org.apache.commons.collections4.iterators,27,0,2,0,0,29,93.10344827586206,16,137,3,21,4,39,4,21,1,12,90.69767441860465,87.5,25
146,MapBackedSet,org.apache.commons.collections4.set,21,0,0,0,0,21,100.0,5,151,1,9,1,31,1,22,0,18,96.875,90.0,23
147,MapTransformer,org.apache.commons.collections4.functors,4,0,1,0,0,5,80.0,3,20,0,2,1,7,1,4,1,3,87.5,100.0,5
148,MapUtils,org.apache.commons.collections4,199,0,19,5,3,226,89.38053097345133,79,1022,10,178,21,287,23,147,15,61,93.18181818181817,94.68085106382979,170
149,MultiKey,org.apache.commons.collections4.keyvalue,16,0,1,0,0,17,94.11764705882351,0,195,0,12,0,37,0,20,0,14,100.0,100.0,20
150,MultiKeyMap,org.apache.commons.collections4.map,0,0,275,0,0,275,0.0,149,1431,109,191,7,304,81,108,0,39,97.7491961414791,63.66666666666667,189
151,MultiMapUtils,org.apache.commons.collections4,19,0,8,1,0,28,67.85714285714286,29,77,4,16,8,22,8,14,4,8,73.33333333333333,80.0,22
152,MultiSetUtils,org.apache.commons.collections4,4,0,0,0,0,4,100.0,0,18,0,0,0,6,0,5,0,5,100.0,,5
153,MultiValueMap,org.apache.commons.collections4.map,60,0,2,4,0,66,90.9090909090909,36,502,6,48,7,123,9,59,3,38,94.61538461538461,88.88888888888889,68
154,NOPClosure,org.apache.commons.collections4.functors,2,0,0,0,0,2,100.0,0,10,0,0,0,4,0,4,0,4,100.0,,4
155,NOPTransformer,org.apache.commons.collections4.functors,3,0,0,0,0,3,100.0,0,11,0,0,0,4,0,4,0,4,100.0,,4
156,NodeCachingLinkedList,org.apache.commons.collections4.list,0,0,31,0,0,31,0.0,10,150,0,12,4,51,2,18,2,12,92.72727272727272,100.0,20
157,NodeListIterator,org.apache.commons.collections4.iterators,11,0,0,0,0,11,100.0,7,71,3,9,1,15,3,8,0,5,93.75,75.0,11
158,NonePredicate,org.apache.commons.collections4.functors,10,0,0,0,0,10,100.0,0,55,0,8,0,14,0,8,0,4,100.0,100.0,8
159,NotNullPredicate,org.apache.commons.collections4.functors,4,0,0,0,0,4,100.0,0,15,0,2,0,4,0,5,0,4,100.0,100.0,5
160,NotPredicate,org.apache.commons.collections4.functors,4,0,1,0,0,5,80.0,8,27,0,4,1,7,1,5,1,3,87.5,100.0,6
161,NullComparator,org.apache.commons.collections4.comparators,10,0,12,0,0,22,45.45454545454545,33,73,8,16,6,17,10,9,3,4,73.91304347826086,66.66666666666666,19
162,NullIsExceptionPredicate,org.apache.commons.collections4.functors,3,0,1,1,0,5,60.0,8,30,0,4,1,9,1,5,1,3,90.0,100.0,6
